Customer_ID,Age,Gender,City,Annual_Income,Purchase_Category,Total_Purchases,Avg_Purchase_Value,Payment_Type,Satisfaction_Score,Subscription_Status
1,58,Male,Ahmedabad,117196,Home Decor,16,119.37,UPI,1.4,Active
2,65,Male,Surat,75302,Electronics,2,55.91,Debit Card,3.0,Active
3,30,Female,Bengaluru,78878,Home Decor,52,435.96,Debit Card,3.8,Active
4,39,Female,Delhi,48221,Beauty,7,55.45,Credit Card,2.4,Active
5,34,Male,Kolkata,90284,Clothing,60,195.48,Net Banking,2.2,Active
6,58,Female,Surat,45203,Clothing,3,334.02,Online Wallet,4.9,Inactive
7,24,Female,Pune,79429,Beauty,11,191.39,Debit Card,3.7,Active
8,62,Male,Surat,103227,Groceries,35,367.27,Debit Card,2.8,Active
9,35,Male,Chennai,27331,Footwear,53,25.73,Online Wallet,2.6,Active
10,54,Female,Bengaluru,105909,Sports,26,443.49,UPI,2.8,Active
11,34,Male,Bengaluru,117647,Home Decor,48,296.45,Net Banking,2.6,Active
12,32,Male,Jaipur,84686,Clothing,49,33.09,Credit Card,1.6,Active
13,28,Female,Surat,28326,Books,25,301.99,Cash,3.1,Inactive
14,18,Male,Jaipur,118419,Home Decor,50,324.07,Credit Card,2.2,Active
15,28,Female,Ahmedabad,114646,Home Decor,33,383.36,Net Banking,4.7,Active
16,58,Female,Jaipur,99818,Footwear,10,193.22,Debit Card,3.2,Inactive
17,51,Male,Surat,62487,Sports,2,64.82,Online Wallet,4.5,Inactive
18,37,Male,Ahmedabad,51571,Clothing,6,368.63,Credit Card,4.9,Inactive
19,26,Male,Kolkata,92063,Groceries,17,268.56,Net Banking,2.7,Active
20,31,Male,Pune,72296,Beauty,29,450.81,Cash,1.5,Active
21,32,Male,Chennai,22757,Footwear,38,117.91,Credit Card,3.8,Active
22,22,Male,Chennai,29287,Footwear,18,337.8,Debit Card,3.2,Inactive
23,54,Female,Bengaluru,81993,Books,13,56.22,UPI,2.7,Active
24,45,Female,Kolkata,115561,Electronics,44,330.19,UPI,1.4,Active
25,43,Female,Mumbai,52591,Footwear,13,272.78,Debit Card,2.7,Active
26,35,Female,Bengaluru,29880,Sports,52,432.06,Net Banking,1.4,Inactive
27,52,Male,Mumbai,118771,Footwear,11,209.14,Cash,1.9,Active
28,43,Male,Delhi,69672,Electronics,25,139.95,Cash,2.1,Active
29,62,Female,Delhi,44890,Home Decor,14,484.67,Net Banking,3.9,Active
30,38,Male,Ahmedabad,96569,Sports,33,460.5,Net Banking,1.6,Active
31,50,Male,Delhi,28981,Clothing,44,432.29,Cash,1.5,Inactive
32,33,Male,Surat,30745,Books,43,296.0,Net Banking,2.3,Active
33,60,Female,Bengaluru,54814,Books,9,339.13,Online Wallet,2.8,Inactive
34,22,Male,Kolkata,101416,Clothing,5,273.44,Net Banking,2.1,Inactive
35,22,Male,Chennai,57353,Groceries,29,418.54,UPI,2.2,Active
36,69,Male,Jaipur,59240,Clothing,57,75.8,Credit Card,4.6,Active
37,65,Male,Pune,56930,Footwear,46,178.01,UPI,3.5,Active
38,34,Female,Pune,26658,Clothing,41,217.55,Online Wallet,1.2,Active
39,26,Female,Delhi,117154,Sports,36,355.78,Net Banking,1.0,Active
40,22,Male,Jaipur,24722,Beauty,38,280.74,Cash,1.5,Active
41,68,Male,Chennai,47535,Footwear,43,60.37,Net Banking,4.5,Active
42,44,Male,Bengaluru,41299,Groceries,57,212.02,Debit Card,3.9,Active
43,44,Male,Pune,40866,Clothing,25,437.36,Cash,1.9,Inactive
44,47,Female,Pune,49831,Footwear,2,333.42,Cash,2.3,Inactive
45,67,Female,Chennai,104080,Books,44,490.76,Net Banking,2.3,Active
46,19,Male,Pune,43405,Home Decor,3,63.12,Cash,2.4,Inactive
47,45,Male,Hyderabad,95574,Footwear,17,31.75,Cash,1.0,Active
48,69,Male,Chennai,76531,Clothing,43,461.18,Net Banking,2.3,Active
49,25,Female,Jaipur,60538,Books,21,207.18,Online Wallet,3.2,Active
50,30,Female,Hyderabad,108777,Groceries,40,288.86,Cash,3.2,Active
51,18,Female,Pune,47549,Books,51,294.19,UPI,2.3,Active
52,46,Female,Bengaluru,87000,Sports,51,451.58,UPI,1.7,Active
53,23,Female,Jaipur,107012,Beauty,6,411.03,Debit Card,3.7,Active
54,30,Male,Ahmedabad,26057,Footwear,31,309.52,Credit Card,2.8,Inactive
55,54,Male,Hyderabad,84799,Books,16,82.31,UPI,1.0,Active
56,66,Male,Hyderabad,48683,Groceries,52,479.4,Net Banking,2.9,Active
57,53,Male,Mumbai,79829,Groceries,52,237.68,Net Banking,5.0,Active
58,56,Female,Kolkata,100301,Books,54,454.36,Cash,4.6,Active
59,65,Female,Kolkata,53972,Footwear,54,322.45,Net Banking,2.9,Active
60,33,Female,Kolkata,30155,Home Decor,16,143.14,Online Wallet,4.6,Active
61,27,Male,Hyderabad,110957,Groceries,46,114.84,Cash,2.6,Active
62,52,Female,Hyderabad,28161,Footwear,54,215.87,Net Banking,4.8,Active
63,66,Female,Kolkata,20772,Beauty,20,379.2,Cash,3.2,Inactive
64,69,Male,Kolkata,48760,Home Decor,28,247.96,Cash,2.3,Active
65,61,Female,Delhi,81261,Groceries,40,271.72,Cash,3.4,Active
66,60,Male,Mumbai,104246,Books,9,434.76,Debit Card,1.2,Active
67,31,Female,Chennai,64236,Books,18,378.48,Cash,2.0,Active
68,23,Female,Ahmedabad,118176,Electronics,23,119.87,Credit Card,4.1,Active
69,59,Male,Ahmedabad,52411,Footwear,54,19.99,Debit Card,2.0,Active
70,48,Male,Surat,48569,Sports,45,135.56,Online Wallet,1.7,Active
71,56,Male,Delhi,60768,Clothing,38,22.58,Online Wallet,3.3,Active
72,42,Female,Bengaluru,29961,Footwear,7,351.62,Online Wallet,4.4,Inactive
73,25,Male,Chennai,89827,Books,43,191.58,Net Banking,3.6,Active
74,18,Female,Kolkata,33833,Books,24,321.44,Cash,3.8,Active
75,64,Female,Surat,90539,Sports,30,223.43,UPI,3.4,Active
76,38,Male,Mumbai,56559,Sports,16,377.73,Net Banking,3.4,Active
77,42,Female,Ahmedabad,84789,Beauty,12,248.9,Online Wallet,4.2,Active
78,39,Female,Surat,111905,Home Decor,36,14.97,Debit Card,1.3,Active
79,64,Female,Kolkata,92768,Footwear,45,243.29,UPI,3.0,Active
80,68,Male,Mumbai,58566,Footwear,26,348.98,Online Wallet,3.7,Active
81,41,Female,Jaipur,89588,Beauty,28,498.35,Net Banking,2.3,Active
82,62,Female,Pune,60189,Home Decor,15,69.12,Debit Card,2.3,Active
83,65,Male,Bengaluru,48361,Sports,18,365.05,Net Banking,3.4,Active
84,24,Male,Pune,49816,Beauty,12,158.11,UPI,3.1,Active
85,35,Male,Ahmedabad,92529,Home Decor,45,472.6,UPI,4.5,Active
86,49,Male,Ahmedabad,95243,Home Decor,31,244.57,Online Wallet,1.7,Active
87,21,Female,Kolkata,34953,Clothing,26,250.96,Net Banking,3.5,Active
88,27,Female,Mumbai,52530,Clothing,36,384.58,Net Banking,3.4,Active
89,57,Male,Jaipur,69856,Sports,59,226.93,Net Banking,5.0,Active
90,37,Male,Surat,117004,Clothing,49,111.82,Debit Card,2.1,Active
91,23,Male,Bengaluru,42782,Clothing,11,11.31,Cash,3.8,Active
92,20,Male,Pune,112662,Home Decor,45,431.21,Credit Card,3.7,Active
93,34,Male,Hyderabad,35043,Footwear,42,83.0,Online Wallet,4.3,Active
94,28,Female,Surat,118167,Home Decor,29,70.93,UPI,2.2,Active
95,43,Female,Jaipur,90776,Sports,29,49.42,Credit Card,4.6,Active
96,65,Female,Surat,52816,Electronics,6,122.17,UPI,4.3,Inactive
97,19,Female,Surat,25273,Groceries,31,264.29,Cash,4.7,Active
98,55,Female,Kolkata,31959,Sports,23,210.09,Online Wallet,3.7,Inactive
99,39,Female,Kolkata,57777,Books,53,382.64,Credit Card,2.8,Active
100,38,Female,Chennai,35194,Books,56,262.15,Credit Card,3.6,Inactive
101,44,Male,Bengaluru,87952,Beauty,40,380.66,UPI,2.8,Active
102,21,Male,Pune,91987,Groceries,60,151.13,UPI,2.9,Active
103,19,Male,Delhi,60730,Electronics,36,209.92,Debit Card,5.0,Active
104,25,Female,Mumbai,104896,Groceries,32,467.0,Online Wallet,3.0,Active
105,35,Female,Kolkata,81894,Footwear,30,280.12,Cash,1.8,Active
106,56,Male,Mumbai,56208,Books,22,467.78,Net Banking,2.1,Active
107,18,Female,Pune,96931,Sports,56,82.81,Net Banking,2.9,Active
108,39,Female,Kolkata,62176,Footwear,45,127.01,Cash,1.9,Active
109,67,Female,Ahmedabad,61704,Sports,46,457.58,Cash,2.5,Active
110,60,Male,Kolkata,24852,Groceries,33,483.02,Online Wallet,4.5,Inactive
111,46,Male,Jaipur,79890,Electronics,47,80.64,UPI,4.9,Active
112,22,Female,Pune,64375,Books,42,49.35,Online Wallet,4.4,Active
113,52,Female,Chennai,102155,Sports,56,275.1,Net Banking,1.3,Active
114,58,Female,Bengaluru,117880,Clothing,28,489.39,UPI,3.8,Active
115,24,Female,Delhi,110964,Home Decor,58,24.18,Online Wallet,4.2,Active
116,36,Female,Chennai,76450,Groceries,16,270.27,Net Banking,3.7,Active
117,29,Male,Delhi,30350,Books,40,344.74,Cash,4.7,Active
118,47,Female,Kolkata,53466,Electronics,58,404.27,Online Wallet,3.7,Active
119,28,Male,Kolkata,65293,Home Decor,41,481.39,UPI,2.0,Active
120,37,Male,Hyderabad,83335,Clothing,16,196.87,Online Wallet,3.3,Active
121,62,Female,Ahmedabad,106275,Books,18,13.97,UPI,4.1,Active
122,21,Female,Pune,50162,Beauty,15,321.94,Net Banking,2.0,Active
123,66,Male,Mumbai,102242,Electronics,20,396.42,Credit Card,3.3,Active
124,64,Male,Mumbai,58680,Beauty,48,213.6,Debit Card,1.5,Active
125,52,Female,Jaipur,85771,Home Decor,54,90.63,Cash,4.9,Active
126,36,Female,Mumbai,81385,Clothing,10,379.53,Debit Card,4.4,Inactive
127,43,Female,Mumbai,71717,Electronics,17,272.92,Cash,2.5,Active
128,65,Female,Surat,69941,Beauty,7,340.67,Cash,1.1,Inactive
